Step	Value
15501	1.84194072971877E-06
15611	8.9996859742314E-07
15634	9.05039257759199E-07
15639	1.02387900824397E-06
15669	1.2872909564976E-06
15701	1.17717650027771E-06
15713	1.33614298647444E-06
15723	1.75754337305989E-06
15750	1.32139075503801E-06
15761	1.36600715450186E-06
15791	1.399202005814E-06
15794	1.40214649491099E-06
15802	9.97634401755931E-07
15807	9.87959651865822E-07
15815	8.38432129057765E-07
15821	1.02693047665525E-06
15832	1.28427473100601E-06
15874	1.01632008409069E-06
15876	9.43150723742292E-07
15922	1.27309738218173E-06
15923	1.61284697242081E-06
15963	1.39925748499081E-06
15981	9.81014636636246E-07
16014	1.03363959169656E-06
16033	9.21550054044928E-07
16043	9.75643843048601E-07
16077	1.12426619125472E-06
16106	1.17434456115006E-06
16118	1.01556338449882E-06
16126	1.24967345982441E-06
16151	1.58454531629104E-06
16186	1.211976950799E-06
16187	1.62524236202444E-06
16237	1.24902976494923E-06
16240	1.48911692576803E-06
16242	1.13863825390581E-06
16248	1.28183478409483E-06
16314	1.99810870071815E-06
16345	1.05240485481772E-06
16347	1.09986854113231E-06
16393	1.13404848889331E-06
16412	1.05857770904549E-06
16413	1.69104839642387E-06
16415	1.23173526844766E-06
16428	1.41271925713227E-06
16485	1.6290791791107E-06
16488	1.28074759686569E-06
16555	9.84557914307516E-07
16604	1.37420101964381E-06
16606	1.3504468370229E-06
16616	1.48786079989804E-06
16651	1.27950102069008E-06
16660	1.51343499510404E-06
16732	1.19416063171229E-06
16736	8.20139291590749E-07
16794	1.11833708160702E-06
16817	1.11067220132099E-06
16835	1.20426466310164E-06
16865	1.16972978503327E-06
16867	2.02145793082309E-06
16881	2.19360140363278E-06
16884	1.70650309883058E-06
16908	8.75417924817157E-07
16948	1.19497371997568E-06
16952	1.26556983559567E-06
17003	1.4353870483319E-06
17017	1.64015523296257E-06
17055	1.61104571816395E-06
17058	1.64344362474367E-06
17077	1.13789508304762E-06
17121	6.2136399492374E-07
17127	8.16763304101187E-07
17128	1.15970487968298E-06
17144	9.83155359790544E-07
17156	9.56664280238329E-07
17192	1.22234018817835E-06
17208	1.26649808862567E-06
17230	1.06618267636804E-06
17232	1.13066914764204E-06
17251	1.00956344795122E-06
17264	1.19272783649649E-06
17265	1.02297690318665E-06
17267	1.01594173429476E-06
17274	1.21640050565475E-06
17282	1.08182803160162E-06
17395	1.6338684645234E-06
17424	1.15113857646065E-06
17432	1.08189544789639E-06
17433	1.16194166821515E-06
17516	8.25193069431407E-07
17523	1.34481524582952E-06
17564	8.35164144064038E-07
17618	1.32464617763617E-06
17633	8.46848024593783E-07
17634	1.26855570670159E-06
17649	1.36270477923972E-06
17650	1.23530094242597E-06
17672	1.38426548801363E-06
17689	1.29629984257917E-06
17698	8.72784482908173E-07
17732	8.72132829954353E-07
17762	9.37126856115356E-07
17769	8.67584162733692E-07
17815	1.23754159631062E-06
17864	9.31483441490855E-07
17874	1.04780792753445E-06
17881	1.01112539141468E-06
17882	8.79746039572638E-07
17886	1.17302295166155E-06
17925	8.13767371710128E-07
17936	1.01485829873127E-06
17953	1.14439808385214E-06
17965	1.2162722669018E-06
18006	9.27593589494791E-07
18009	1.08085896499688E-06
18036	1.4055370911592E-06
18043	1.3300925729709E-06
18065	1.33122534862196E-06
18081	1.05879087186622E-06
18086	9.71873646449239E-07
18089	1.02235310350807E-06
18110	1.16843193609384E-06
18122	1.51719257246441E-06
18130	9.55497625909629E-07
18134	1.1725716149158E-06
18138	1.21828077226382E-06
18208	9.80119921223377E-07
18277	1.60048000452662E-06
18329	9.79501919573522E-07
18333	1.09374502699211E-06
18346	1.31383126245055E-06
18367	9.13037126792915E-07
18375	1.02070396224008E-06
18405	1.20805214010034E-06
18406	9.41143184718385E-07
18418	1.17719366699021E-06
18430	9.7639440355124E-07
18438	1.07786354419659E-06
18445	9.23329650959204E-07
18455	1.09036614048819E-06
18469	1.17493436846416E-06
18482	7.56398662815627E-07
18491	9.53154426497349E-07
18511	9.20624529499037E-07
18523	1.16762669222226E-06
18543	1.15412353807187E-06
18587	1.0682168749554E-06
18617	8.9846514583769E-07
18622	9.72194357018452E-07
18623	8.76384945058817E-07
18635	1.04236949027836E-06
18646	1.32296236188267E-06
18673	1.25638621284452E-06
18759	1.40811550863873E-06
18760	8.20673221824109E-07
18766	1.22831943372148E-06
18769	1.22628262033686E-06
18781	1.33055834794504E-06
18796	1.00887916687498E-06
18873	1.18106436275411E-06
18899	8.67057622144785E-07
18905	1.07081336864212E-06
18906	1.33998810269986E-06
18941	9.97665438262629E-07
18966	1.32411469166982E-06
18992	1.25423503050115E-06
19037	1.02237891042023E-06
19040	8.68567894940497E-07
19062	1.04528044175822E-06
19100	1.90558273516217E-06
19110	1.20554273053131E-06
19114	1.27114481074386E-06
19115	1.44916339195333E-06
19210	9.16700173547724E-07
19212	1.19723426905693E-06
19217	1.20385038826498E-06
19277	1.16409000838758E-06
19279	1.36461983402114E-06
19310	2.51791220762243E-06
19320	1.06756817785936E-06
19370	6.78489413985517E-07
19378	1.3610124369734E-06
19393	1.11012434445001E-06
19403	1.30797059227916E-06
19407	8.09325797490601E-07
19421	1.1849681413878E-06
19448	1.47437094710767E-06
19466	8.50949334108009E-07
19475	1.52939969666477E-06
19479	1.20182858154294E-06
19499	1.21226275950903E-06
19502	9.81393782240048E-07
19547	1.25986127841315E-06
19618	1.55144869040669E-06
19634	9.07348407963582E-07
19655	1.35706000037317E-06
19662	1.12240047656087E-06
19702	1.29698696582636E-06
19764	1.35424352265545E-06
19766	1.20491858979221E-06
19770	1.48075548622728E-06
19842	1.03067918644228E-06
19848	8.98761300049955E-07
19862	1.06050288195547E-06
19896	1.28249598674302E-06
19912	9.464665708947E-07
19923	1.58537784500368E-06
19967	1.28707961266628E-06
19982	1.31642877931881E-06
19983	9.89972477327683E-07
19987	1.31097101530031E-06
20000	1.37712299874693E-06
20015	1.0904641385423E-06
20021	9.95976961348788E-07
20076	8.55025064083748E-07
20089	1.1031620488211E-06
20113	1.06810693978332E-06
20130	9.61643763730535E-07
20135	1.32248521822476E-06
20312	1.08302913304215E-06
20333	8.69677251102985E-07
20363	1.10568748823425E-06
20395	1.04593596006453E-06
20404	1.00703823591175E-06
20423	7.51516552099929E-07
20441	1.13499493181735E-06
20485	9.20977186069649E-07
20494	1.03273555396299E-06
20514	7.63982257012685E-07
20536	1.68335623129678E-06
20545	1.70198200066807E-06
20559	1.01587545486836E-06
20576	1.22921346701332E-06
20579	1.34596393763786E-06
20582	1.10753251192364E-06
20619	9.12928840079985E-07
20647	9.3102710252424E-07
20656	1.09154575511639E-06
20665	1.07105859115109E-06
20667	9.31999693420948E-07
20750	9.80059439825709E-07
20761	7.94442655660532E-07
20788	1.3851481526217E-06
20814	1.50758637573745E-06
20832	1.08679682853108E-06
